Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
BMW INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,1
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,49
KIA INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,22
MAHINDRA & MAHINDRA LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,160
MG MOTOR INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,3
TATA MOTORS PASSENGER VEHICLES LTD,DIESEL,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,18
TOYOTA KIRLOSKAR MOTOR PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,31
MERCEDES-BENZ INDIA PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,1
KIA INDIA PRIVATE LIMITED,ELECTRIC(BOV),MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,2
MAHINDRA & MAHINDRA LIMITED,ELECTRIC(BOV),MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,1
TATA MOTORS PASSENGER VEHICLES LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,1
TATA PASSENGER ELECTRIC MOBILITY LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,6
FCA INDIA AUTOMOBILES PRIVATE LIMITED,PETROL,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,1
HONDA CARS INDIA LTD,PETROL,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,93
HYUNDAI MOTOR INDIA LTD,PETROL,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,194
KIA INDIA PRIVATE LIMITED,PETROL,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,40
MAHINDRA & MAHINDRA LIMITED,PETROL,MOTOR CAR,Punjab(96),RTO AMRITSAR,PB2,2024,JAN,18
