Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
AUDI AG,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
FORD INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
HONDA CARS INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
JAGUAR LAND ROVER INDIA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MERCEDES-BENZ INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MG MOTOR INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
NISSAN MOTOR INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
PORSCHE AG GERMANY,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TATA MOTORS PASSENGER VEHICLES LTD,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TATA PASSENGER ELECTRIC MOBILITY LTD,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
AUDI AG,DIESEL,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,2
FORD INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,1
