Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TATA MOTORS PASSENGER VEHICLES LTD,CNG ONLY,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,1
MAHINDRA & MAHINDRA LIMITED,DIESEL,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,3
MARUTI SUZUKI INDIA LTD,DIESEL,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TATA MOTORS PASSENGER VEHICLES LTD,DIESEL,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,1
TOYOTA KIRLOSKAR MOTOR PVT LTD,DIESEL,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
HYUNDAI MOTOR INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
MARUTI SUZUKI INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TATA MOTORS PASSENGER VEHICLES LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
HYUNDAI MOTOR INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
MARUTI SUZUKI INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TATA MOTORS PASSENGER VEHICLES LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TATA MOTORS PASSENGER VEHICLES LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TATA MOTORS PASSENGER VEHICLES LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TATA MOTORS PASSENGER VEHICLES LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96), SDM AMARGARH,PB92,2024,APR,0
