Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
AUDI AG,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
BMW INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
BYD INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
HONDA CARS INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
JAGUAR LAND ROVER INDIA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
MERCEDES-BENZ INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
MG MOTOR INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
NISSAN MOTOR INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
PCA AUTOMOBILES INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
PORSCHE AG GERMANY,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
RENAULT INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
TATA MOTORS LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
TATA MOTORS PASSENGER VEHICLES LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
TATA PASSENGER ELECTRIC MOBILITY LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
AUDI AG,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
BMW INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,4
BYD INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,1
HONDA CARS INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,97
JAGUAR LAND ROVER INDIA LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,2
KIA INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,96
MAHINDRA & MAHINDRA LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,320
MARUTI SUZUKI INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
MERCEDES-BENZ INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,7
MG MOTOR INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,7
NISSAN MOTOR INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,APR,0
