Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
FCA INDIA AUTOMOBILES PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
HONDA CARS INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
MERCEDES -BENZ AG,CNG ONLY,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
NISSAN MOTOR INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
TATA MOTORS PASSENGER VEHICLES LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,1
HONDA CARS INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,12
KIA INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,10
MAHINDRA & MAHINDRA LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,44
MARUTI SUZUKI INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
MERCEDES -BENZ AG,DIESEL,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,1
NISSAN MOTOR INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
TATA MOTORS PASSENGER VEHICLES LTD,DIESEL,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,3
FCA INDIA AUTOMOBILES PRIVATE LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
HONDA CARS INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
KIA INDIA PRIVATE LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
MAHINDRA & MAHINDRA LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO SANGRUR,PB13,2024,AUG,0
