Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
BAJAJ AUTO LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
CLASSIC LEGENDS PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
DASMESH MECHANICAL WORKS PVT.LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
HERO MOTOCORP LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
KARTAR AGRO INDUSTRIES PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
TVS MOTOR COMPANY LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
BAJAJ AUTO LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
CLASSIC LEGENDS PVT LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
DASMESH MECHANICAL WORKS PVT.LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,6
HERO MOTOCORP LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,1
KARTAR AGRO INDUSTRIES PVT LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,1
KIA INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
MAHINDRA & MAHINDRA LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,5
MARUTI SUZUKI INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,3
TVS MOTOR COMPANY LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
BAJAJ AUTO LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
CLASSIC LEGENDS PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
DASMESH MECHANICAL WORKS PVT.LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
HERO MOTOCORP LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
KARTAR AGRO INDUSTRIES PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
KIA INDIA PRIVATE LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,AUG,0
