Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
BAJAJ AUTO LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HERO MOTOCORP LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
OLA ELECTRIC TECHNOLOGIES PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
TATA MOTORS PASSENGER VEHICLES LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
TVS MOTOR COMPANY LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
BAJAJ AUTO LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HERO MOTOCORP LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,2
KIA INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,1
MAHINDRA & MAHINDRA LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,5
MARUTI SUZUKI INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
OLA ELECTRIC TECHNOLOGIES PVT LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
TATA MOTORS PASSENGER VEHICLES LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
TVS MOTOR COMPANY LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
BAJAJ AUTO LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HERO MOTOCORP LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HYUNDAI MOTOR INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
KIA INDIA PRIVATE LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
MAHINDRA & MAHINDRA LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
MARUTI SUZUKI INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
OLA ELECTRIC TECHNOLOGIES PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
TATA MOTORS PASSENGER VEHICLES LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
TVS MOTOR COMPANY LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
BAJAJ AUTO LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HERO MOTOCORP LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HYUNDAI MOTOR INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
KIA INDIA PRIVATE LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
MAHINDRA & MAHINDRA LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
MARUTI SUZUKI INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
OLA ELECTRIC TECHNOLOGIES PVT LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
TATA MOTORS PASSENGER VEHICLES LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
TVS MOTOR COMPANY LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
BAJAJ AUTO LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HERO MOTOCORP LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
KIA INDIA PRIVATE LIMITED,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JAN,0
