Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
BAJAJ AUTO LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HERO MOTOCORP LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA CARS INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
NISSAN MOTOR INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TVS MOTOR COMPANY LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
BAJAJ AUTO LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,1
