Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
BAJAJ AUTO LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
DASMESH MECHANICAL WORKS PVT.LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
EICHER TRACTORS,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
HERO MOTOCORP LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
INDO FARM EQUIPMENT LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
MAHINDRA & MAHINDRA LIMITED (TRACTOR),CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
OLA ELECTRIC TECHNOLOGIES PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
TVS MOTOR COMPANY LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
BAJAJ AUTO LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
DASMESH MECHANICAL WORKS PVT.LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,1
EICHER TRACTORS,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,3
HERO MOTOCORP LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,1
INDO FARM EQUIPMENT LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,1
MAHINDRA & MAHINDRA LIMITED (TRACTOR),DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,1
MARUTI SUZUKI INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
OLA ELECTRIC TECHNOLOGIES PVT LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
TVS MOTOR COMPANY LTD,DIESEL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
BAJAJ AUTO LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
DASMESH MECHANICAL WORKS PVT.LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
EICHER TRACTORS,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
HERO MOTOCORP LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
HYUNDAI MOTOR INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
INDO FARM EQUIPMENT LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
MAHINDRA & MAHINDRA LIMITED (TRACTOR),DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
MARUTI SUZUKI INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
OLA ELECTRIC TECHNOLOGIES PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
TVS MOTOR COMPANY LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
BAJAJ AUTO LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
DASMESH MECHANICAL WORKS PVT.LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
EICHER TRACTORS,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
HERO MOTOCORP LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
HYUNDAI MOTOR INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUN,0
