Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
BAJAJ AUTO LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
EICHER TRACTORS,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
HERO MOTOCORP LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
HONDA CARS INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
INDIA KAWASAKI MOTORS PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
MAHINDRA & MAHINDRA LIMITED (TRACTOR),CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
SYAN AGRO INDUSTRY,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
TATA MOTORS PASSENGER VEHICLES LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
TVS MOTOR COMPANY LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
BAJAJ AUTO LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
EICHER TRACTORS,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,2
FCA INDIA AUTOMOBILES PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,1
HERO MOTOCORP LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
HONDA CARS INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,3
INDIA KAWASAKI MOTORS PVT LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,0
KIA INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,FEB,6
