Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
BAJAJ AUTO LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
HERO MOTOCORP LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
HONDA CARS INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
INTERNATIONAL TRACTORS LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
MG MOTOR INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
BAJAJ AUTO LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JAN,0
