Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
BAJAJ AUTO LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
HERO MOTOCORP LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
INTERNATIONAL TRACTORS LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
J K AGRO INDUSTRIES,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
TATA MOTORS PASSENGER VEHICLES LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
TVS MOTOR COMPANY LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
BAJAJ AUTO LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
HERO MOTOCORP LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,2
INTERNATIONAL TRACTORS LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,1
J K AGRO INDUSTRIES,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,1
KIA INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,2
MAHINDRA & MAHINDRA LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,10
MARUTI SUZUKI INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,JUN,0
