Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
BAJAJ AUTO LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
HERO MOTOCORP LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
HONDA CARS INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
MAHINDRA & MAHINDRA LIMITED (TRACTOR),CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
OLA ELECTRIC TECHNOLOGIES PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
TATA MOTORS PASSENGER VEHICLES LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BAGHA PURANA,PB69,2024,MAR,0
