Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,1
HYUNDAI MOTOR INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,ETHANOL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,ETHANOL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,LNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,LNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,LNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,LPG ONLY,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,LPG ONLY,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,LPG ONLY,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,METHANOL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,METHANOL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,METHANOL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,NOT APPLICABLE,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,NOT APPLICABLE,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,NOT APPLICABLE,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,PETROL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,1
JAGUAR LAND ROVER INDIA LIMITED,PETROL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,1
MAHINDRA & MAHINDRA LIMITED,PETROL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,1
HYUNDAI MOTOR INDIA LTD,PETROL/CNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,PETROL/CNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,PETROL/CNG,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,PETROL/ETHANOL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,PETROL/ETHANOL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
MAHINDRA & MAHINDRA LIMITED,PETROL/ETHANOL,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
HYUNDAI MOTOR INDIA LTD,PETROL/HYBRID,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
JAGUAR LAND ROVER INDIA LIMITED,PETROL/HYBRID,MOTOR CAR,Punjab(96),SDM BHIKHIWIND,PB88,2024,SEP,0
