Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,2
KIA INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,1
TOYOTA KIRLOSKAR MOTOR PVT LTD,DIESEL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,ETHANOL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,LNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,LNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,LNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,LPG ONLY,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,LPG ONLY,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,LPG ONLY,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,METHANOL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,METHANOL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,METHANOL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,NOT APPLICABLE,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,NOT APPLICABLE,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,NOT APPLICABLE,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,PETROL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,PETROL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,PETROL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,PETROL/CNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,PETROL/CNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,PETROL/CNG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,1
HYUNDAI MOTOR INDIA LTD,PETROL/ETHANOL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,PETROL/ETHANOL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,PETROL/ETHANOL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,PETROL/HYBRID,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,PETROL/HYBRID,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,PETROL/HYBRID,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,PETROL/LPG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,PETROL/LPG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,PETROL/LPG,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,PETROL/METHANOL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,PETROL/METHANOL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,PETROL/METHANOL,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,PLUG-IN HYBRID EV,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,PLUG-IN HYBRID EV,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,PLUG-IN HYBRID EV,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,PURE EV,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,PURE EV,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,PURE EV,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,SOLAR,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,SOLAR,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,SOLAR,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,STRONG HYBRID EV,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
KIA INDIA PRIVATE LIMITED,STRONG HYBRID EV,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,STRONG HYBRID EV,MOTOR CAR,Punjab(96),SDM KALANAUR,PB85,2024,AUG,1
