Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
TATA PASSENGER ELECTRIC MOBILITY LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
KIA INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,2
MARUTI SUZUKI INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
TATA PASSENGER ELECTRIC MOBILITY LTD,DIESEL,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
KIA INDIA PRIVATE LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
MARUTI SUZUKI INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
TATA PASSENGER ELECTRIC MOBILITY LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
KIA INDIA PRIVATE LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
MARUTI SUZUKI INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
TATA PASSENGER ELECTRIC MOBILITY LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
KIA INDIA PRIVATE LIMITED,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
TATA PASSENGER ELECTRIC MOBILITY LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
KIA INDIA PRIVATE LIMITED,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
TATA PASSENGER ELECTRIC MOBILITY LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
KIA INDIA PRIVATE LIMITED,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
TATA PASSENGER ELECTRIC MOBILITY LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
KIA INDIA PRIVATE LIMITED,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
MARUTI SUZUKI INDIA LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
TATA PASSENGER ELECTRIC MOBILITY LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,1
KIA INDIA PRIVATE LIMITED,ETHANOL,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
MARUTI SUZUKI INDIA LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM MAUR MANDI,PB80,2024,JAN,0
