Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
HONDA CARS INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
HONDA CARS INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,1
MARUTI SUZUKI INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
HONDA CARS INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
MARUTI SUZUKI INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
HONDA CARS INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
MARUTI SUZUKI INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
HONDA CARS INDIA LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
HONDA CARS INDIA LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM NAKODAR,PB33,2024,APR,0
