Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
HONDA CARS INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
MG MOTOR INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
TATA MOTORS PASSENGER VEHICLES LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
TATA PASSENGER ELECTRIC MOBILITY LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
HONDA CARS INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,5
KIA INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,3
MAHINDRA & MAHINDRA LIMITED,DIESEL,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,13
MARUTI SUZUKI INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
MG MOTOR INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
TATA MOTORS PASSENGER VEHICLES LTD,DIESEL,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,2
TATA PASSENGER ELECTRIC MOBILITY LTD,DIESEL,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DIESEL,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,1
HONDA CARS INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
HYUNDAI MOTOR INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
KIA INDIA PRIVATE LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
MAHINDRA & MAHINDRA LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
MARUTI SUZUKI INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
MG MOTOR INDIA PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
TATA MOTORS PASSENGER VEHICLES LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
TATA PASSENGER ELECTRIC MOBILITY LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
HONDA CARS INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
HYUNDAI MOTOR INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
KIA INDIA PRIVATE LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
MAHINDRA & MAHINDRA LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96),SDM RAJPURA,PB39,2024,MAR,0
